5000	1000	0.196
10000	1000	0.198
20000	1000	0.397
30000	1000	0.646
40000	1000	0.829
50000	1000	1.067
75000	1000	1.729
100000	1000	2.453
200000	1000	12.868
300000	1000	23.075
400000	1000	38.652
5000	500	0.019
10000	500	0.084
20000	500	0.194
30000	500	0.304
40000	500	0.429
50000	500	0.600
75000	500	0.954
100000	500	1.365
200000	500	6.796
300000	500	14.000
400000	500	23.815
5000	200	0.011
10000	200	0.018
20000	200	0.043
30000	200	0.114
40000	200	0.175
50000	200	0.236
75000	200	0.478
100000	200	0.772
200000	200	5.966
300000	200	12.416
400000	200	20.317
