# 50000	1000	1.585
# 100000	1000	3.622
# 200000	1000	12.868
# 300000	1000	23.075
# 400000	1000	38.652
10000	500	0.089
50000	500	0.829
100000	500	2.275
200000	500	6.796
300000	500	14.000
400000	500	23.815
10000	200	0.035
50000	200	0.466
100000	200	1.488
200000	200	5.966
300000	200	12.416
400000	200	20.317
10000	100	0.027
50000	100	0.333
100000	100	1.223
200000	100	4.434
300000	100	9.727
400000	100	16.255
10000	50	0.361
50000	50	0.731
100000	50	0.958
200000	50	3.782
300000	50	8.522
400000	50	15.386
10000	100	0.844
5000	50	0.197
10000	50	0.020
20000	50	0.049
30000	50	0.090
40000	50	0.155
50000	50	0.241
75000	50	0.527
100000	50	0.962
5000	100	0.007
10000	100	0.016
20000	100	0.050
30000	100	0.105
40000	100	0.183
50000	100	0.300
75000	100	0.629
100000	100	1.102
5000	200	0.011
10000	200	0.023
20000	200	0.062
30000	200	0.174
40000	200	0.283
50000	200	0.404
75000	200	0.831
100000	200	1.398
5000	500	0.020
10000	500	0.077
20000	500	0.182
30000	500	0.382
40000	500	0.559
