5000	1000	0.651
10000	1000	0.716
20000	1000	1.034
30000	1000	1.119
40000	1000	1.276
50000	1000	1.517
75000	1000	2.066
100000	1000	2.315
200000	1000	8.072
300000	1000	7.737
400000	1000	18.266
5000	500	0.541
10000	500	0.527
20000	500	0.658
30000	500	0.673
40000	500	0.887
50000	500	0.953
75000	500	1.040
100000	500	1.560
200000	500	3.122
300000	500	4.729
400000	500	6.411
5000	200	0.479
10000	200	0.558
20000	200	0.546
30000	200	0.593
40000	200	0.769
50000	200	0.738
75000	200	0.808
100000	200	0.910
200000	200	1.876
300000	200	2.674
400000	200	3.632
